County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Jim Wells,11,"34,255","27,127","15,439","12,370","30,579","6,358","3,897",985,"12,474","1,370",,,,,,,,,,,,,
Johnson,2/3,"100,900","83,564","49,194","36,327","135,345","25,151","3,559","1,471","53,224","5,814",,,,,,,,,,,,,
Jones,2/3,"3,300","6,390","3,841","3,043","17,011","3,188",337,254,"6,981",525,,,,,,,,,,,,,
Karnes,8,"14,520","7,289","4,714","3,376","12,669","2,211",370,244,"5,177",505,,,,,,,,,,,,,
Kaufman,2/3,"62,350","68,429","42,180","28,760","102,341","16,113","2,857","1,189","40,613","4,498",,,,,,,,,,,,,
Kendall,8,"17,900","33,433","20,533","14,472","37,890","9,152","1,091",801,"12,702",160,,,,,,,,,,,,,
Kenedy,11,0,325,176,152,321,68,1,0,139,0,,,,,,,,,,,,,
Kent,2/3,0,390,224,191,615,201,13,60,198,0,,,,,,,,,,,,,
Kerr,8,"20,100","27,314","16,310","11,991","43,793","14,769","2,805","1,022","13,990","1,087",,,,,,,,,,,,,
Kimble,9/10,"2,900","2,496","1,428","1,179","3,651","1,288",90,0,"1,243",0,,,,,,,,,,,,,
King,1,0,97,67,34,205,51,7,0,69,0,,,,,,,,,,,,,
Kinney,8,"2,400","1,891","1,153",771,"3,050",910,11,0,"1,171",0,,,,,,,,,,,,,
Kleberg,11,"57,555","24,835","13,781","11,438","24,188","4,046","1,401",341,"9,265",870,,,,,,,,,,,,,
Knox,2/3,"2,300","1,978","1,093",993,"2,808",736,95,127,976,182,,,,,,,,,,,,,
La Salle,8,"24,435","5,230","2,900","2,497","6,212","1,018",22,60,"2,410",0,,,,,,,,,,,,,
Lamar,4/5N,"27,900","23,004","13,105","10,752","39,402","9,726","3,115",745,"14,986","1,612",,,,,,,,,,,,,
Lamb,1,"2,400","6,547","3,885","3,034","9,740","2,240",454,226,"3,968",536,,,,,,,,,,,,,
Lampasas,7,"5,000","9,702","6,107","4,192","17,366","4,322",348,284,"6,457",0,,,,,,,,,,,,,
Lavaca,8,"8,600","10,699","6,399","5,238","16,004","4,775",820,612,"5,435",476,,,,,,,,,,,,,
Lee,7,"5,500","8,723","5,221","3,884","13,993","3,219",334,226,"5,333",494,,,,,,,,,,,,,
Leon,7,"3,800","7,801","4,817","3,796","13,946","4,334",155,74,"4,662",603,,,,,,,,,,,,,
Liberty,6/5S,"39,725","31,461","20,078","13,011","66,868","11,399","1,398",614,"28,567","2,987",,,,,,,,,,,,,
Limestone,7,"7,700","9,450","5,679","4,393","18,871","4,670","2,332","1,060","7,512",702,,,,,,,,,,,,,
Lipscomb,1,"1,300","1,372",761,670,"2,520",617,24,61,919,190,,,,,,,,,,,,,
Live Oak,11,"3,300","5,027","2,835","2,318","10,055","2,533",35,100,"3,769",300,,,,,,,,,,,,,
Llano,7,"6,700","14,827","8,753","6,922","18,908","8,119",277,358,"5,362",15,,,,,,,,,,,,,
Loving,9/10,0,59,34,25,129,23,0,0,50,0,,,,,,,,,,,,,
Lubbock,1,"233,220","181,598","104,945","82,016","244,992","39,476","20,974","4,093","83,028","9,242",,,,,,,,,,,,,
Lynn,1,"1,800","2,919","1,688","1,317","4,496",974,191,40,"1,838",328,,,,,,,,,,,,,
Madison,7,"3,700","5,310","3,436","2,279","11,595","2,264",299,258,"4,451",17,,,,,,,,,,,,,
Marion,4/5N,"1,300","4,426","2,601","2,121","8,277","2,697",351,158,"3,058",0,,,,,,,,,,,,,
Martin,9/10,"2,400","2,323","1,378","1,046","4,136",659,165,0,"1,624",0,,,,,,,,,,,,,
Mason,9/10,"2,000","2,833","1,565","1,354","3,521","1,250",104,0,"1,147",0,,,,,,,,,,,,,
Matagorda,6/5S,"16,450","19,435","11,695","8,481","28,247","6,391","1,113",369,"11,409","1,164",,,,,,,,,,,,,
Maverick,8,"44,800","40,815","28,501","14,573","42,606","7,003","2,970","1,198","18,727",152,,,,,,,,,,,,,
McCulloch,9/10,"4,400","3,540","2,075","1,610","6,435","1,792",212,122,"2,275",260,,,,,,,,,,,,,
McLennan,7,"145,680","131,458","80,186","58,752","200,781","37,728","11,153","3,621","71,906","8,718",,,,,,,,,,,,,
McMullen,11,"1,200",404,232,203,616,189,10,0,202,0,,,,,,,,,,,,,
Medina,8,"16,800","28,075","17,347","12,680","41,263","8,757",899,536,"16,090","1,720",,,,,,,,,,,,,
Menard,9/10,"1,400","1,432",826,734,"1,790",699,9,40,550,0,,,,,,,,,,,,,
Midland,9/10,"135,735","87,338","49,283","39,563","131,025","18,438","5,950","1,288","49,538","4,151",,,,,,,,,,,,,
Milam,7,"10,400","12,403","7,109","5,625","19,689","5,245",532,297,"7,641",827,,,,,,,,,,,,,
Mills,7,"2,500","2,664","1,517","1,238","4,006","1,416",149,152,"1,305",265,,,,,,,,,,,,,
Mitchell,2/3,"4,000","2,811","1,594","1,276","6,958","1,259",265,96,"2,753",254,,,,,,,,,,,,,
Montague,2/3,"4,750","8,806","5,118","4,102","15,872","4,444",560,383,"5,668",702,,,,,,,,,,,,,
Montgomery,6/5S,"387,390","316,646","203,186","123,041","467,232","81,457","20,255","3,836","157,396","17,330",,,,,,,,,,,,,
Moore,1,"7,040","12,257","7,083","5,400","14,986","2,372",448,176,"6,143",27,,,,,,,,,,,,,
Morris,4/5N,"2,100","5,310","3,327","2,421","9,830","2,730",77,179,"3,692",0,,,,,,,,,,,,,
Motley,1,0,555,354,211,994,368,22,50,319,0,,,,,,,,,,,,,
Nacogdoches,4/5N,"32,600","30,516","19,449","14,642","51,773","9,953","2,530",755,"19,948","1,728",,,,,,,,,,,,,
Navarro,2/3,"33,100","26,737","15,373","11,880","38,360","8,651","1,720",869,"15,775","1,772",,,,,,,,,,,,,
Newton,4/5N,"2,900","4,139","2,299","1,935","11,298","2,878",55,113,"4,648",354,,,,,,,,,,,,,
Nolan,2/3,"9,000","7,006","4,424","3,686","11,321","2,737",519,251,"4,249",719,,,,,,,,,,,,,
Nueces,11,"264,705","229,640","135,629","100,414","284,366","54,069","25,582","4,100","113,767","9,771",,,,,,,,,,,,,
Ochiltree,1,"4,700","4,637","2,561","2,282","7,106","1,148",200,114,"2,812",0,,,,,,,,,,,,,
Oldham,1,"1,600",856,493,390,"1,728",316,18,0,654,227,,,,,,,,,,,,,
Orange,6/5S,"4,900","30,181","17,903","13,151","65,087","13,729","1,456",548,"26,244","2,692",,,,,,,,,,,,,
Palo Pinto,2/3,"6,500","12,223","7,241","5,532","23,207","5,893",864,283,"8,796",816,,,,,,,,,,,,,
Panola,4/5N,"3,900","7,444","4,550","3,601","18,462","4,589",473,377,"7,117",661,,,,,,,,,,,,,
Parker,2/3,"70,220","73,256","42,498","33,116","111,686","22,331","2,890","1,301","40,567","3,773",,,,,,,,,,,,,
Parmer,1,"2,600","5,005","2,804","2,461","7,222","1,366",161,174,"2,910",525,,,,,,,,,,,,,
Pecos,9/10,"6,700","9,475","5,271","4,481","12,317","2,141",400,120,"5,047",517,,,,,,,,,,,,,
Polk,4/5N,"10,200","22,036","12,978","10,044","42,276","9,733","1,184",574,"17,118","1,025",,,,,,,,,,,,,
Potter,1,"186,995","54,303","32,075","23,270","88,673","15,203","10,224","1,770","35,559",518,,,,,,,,,,,,,
Presidio,9/10,"5,300","8,055","4,560","3,676","5,069","1,601",27,0,"2,039",0,,,,,,,,,,,,,
Rains,4/5N,"2,000","4,795","2,780","2,136","10,277","3,123",163,68,"3,649",0,,,,,,,,,,,,,
Randall,1,"16,170","74,990","43,087","34,179","108,431","21,424","2,812",869,"34,803",519,,,,,,,,,,,,,
Reagan,9/10,"1,400","1,704","1,013",897,"2,841",427,52,42,"1,173",0,,,,,,,,,,,,,
Real,8,"1,900","2,320","1,242","1,113","2,943","1,053",25,86,"1,051",0,,,,,,,,,,,,,
Red River,4/5N,"3,500","5,369","3,155","2,627","9,965","3,044",420,252,"3,717",477,,,,,,,,,,,,,
Reeves,9/10,"31,075","8,678","4,743","4,029","12,781","1,878",281,89,"5,277",0,,,,,,,,,,,,,
Refugio,11,"2,900","4,618","2,565","2,145","5,583","1,617",228,154,"2,031",313,,,,,,,,,,,,,
Roberts,1,0,328,180,161,672,193,16,0,227,0,,,,,,,,,,,,,
Robertson,7,"4,200","8,081","4,972","3,855","13,474","3,412",252,252,"4,991",690,,,,,,,,,,,,,
Rockwall,2/3,"56,995","74,421","45,739","31,401","80,325","13,395","3,750","1,347","27,575","3,321",,,,,,,,,,,,,
Runnels,2/3,"7,600","5,604","3,143","2,753","8,184","2,153",405,312,"2,979",430,,,,,,,,,,,,,
Rusk,4/5N,"11,070","19,821","12,005","9,093","43,777","9,197","1,501",759,"17,428","1,859",,,,,,,,,,,,,
Sabine,4/5N,"3,900","5,162","2,929","2,459","8,871","3,267",572,186,"3,077",0,,,,,,,,,,,,,
San Augustine,4/5N,"3,700","4,425","2,535","2,008","6,811","2,227",415,337,"2,590",0,,,,,,,,,,,,,
San Jacinto,4/5N,"4,500","10,142","6,066","4,840","23,444","6,488",132,190,"9,275",40,,,,,,,,,,,,,
San Patricio,11,"20,070","37,740","22,578","16,836","51,116","10,209",975,347,"19,063","2,379",,,,,,,,,,,,,
San Saba,7,"2,000","2,359","1,442",998,"5,000","1,465",33,72,"1,828",197,,,,,,,,,,,,,
Schleicher,9/10,"1,800","1,597",874,772,"2,218",559,65,34,793,0,,,,,,,,,,,,,
Scurry,2/3,"7,095","7,783","4,528","3,735","13,000","2,566",399,128,"5,165",0,,,,,,,,,,,,,
Shackelford,2/3,"1,700","1,642",911,766,"2,612",691,52,0,937,119,,,,,,,,,,,,,
Shelby,4/5N,"10,050","8,649","5,193","4,122","19,449","4,532",540,369,"7,876",948,,,,,,,,,,,,,
Sherman,1,"1,800","1,380",830,622,"2,294",462,24,42,868,0,,,,,,,,,,,,,
Smith,4/5N,"201,720","120,699","69,599","53,332","182,283","39,337","19,690","3,030","62,467","7,172",,,,,,,,,,,,,
Somervell,2/3,"5,000","4,661","2,760","2,191","7,386","1,770",457,220,"2,741",479,,,,,,,,,,,,,
Starr,11,"40,740","55,237","33,197","27,416","45,765","7,370","4,479","1,999","21,117","3,311",,,,,,,,,,,,,
Stephens,2/3,"3,400","3,656","2,205","1,835","7,542","1,890",168,92,"2,928",22,,,,,,,,,,,,,
Sterling,9/10,700,584,339,249,975,186,10,44,375,0,,,,,,,,,,,,,
Stonewall,2/3,"1,700",768,445,377,"1,095",361,63,53,369,0,,,,,,,,,,,,,
Sutton,9/10,"2,400","2,251","1,242","1,036","2,992",723,91,0,"1,051",0,,,,,,,,,,,,,
Swisher,1,"2,300","3,085","1,842","1,582","5,764","1,305",114,61,"2,381",323,,,,,,,,,,,,,
Tarrant,2/3,"1,385,220","1,226,677","734,470","521,817","1,617,160","244,511","86,106","18,386","590,239","56,668",,,,,,,,,,,,,
Taylor,2/3,"93,635","75,466","42,134","35,226","107,257","20,131","11,065","2,465","36,680","4,185",,,,,,,,,,,,,
Terrell,9/10,0,642,377,282,639,255,10,0,207,0,,,,,,,,,,,,,
Terry,1,"8,590","6,428","3,709","3,100","9,307","1,858",345,178,"3,985",416,,,,,,,,,,,,,
Throckmorton,2/3,"2,100",973,527,460,"1,247",445,64,0,399,0,,,,,,,,,,,,,
Titus,4/5N,"24,900","12,809","8,153","5,100","24,323","4,845","1,811",633,"9,797","1,297",,,,,,,,,,,,,
Tom Green,9/10,"94,740","67,027","37,171","30,899","93,752","18,625","6,702","1,601","33,131","3,815",,,,,,,,,,,,,
Travis,7,"1,585,850","953,526","596,913","395,060","1,032,386","129,553","51,820","8,264","311,477","32,884",,,,,,,,,,,,,
Trinity,4/5N,"5,050","6,869","4,033","3,170","12,104","3,956",347,241,"4,400",427,,,,,,,,,,,,,
Tyler,4/5N,"8,900","8,164","4,627","3,721","17,963","4,895",476,238,"6,926",722,,,,,,,,,,,,,
Upshur,4/5N,"5,300","14,926","8,637","6,928","33,011","7,825",714,567,"12,366","1,404",,,,,,,,,,,,,
Upton,9/10,"3,200","2,138","1,163",982,"2,730",537,170,30,"1,105",0,,,,,,,,,,,,,
Uvalde,8,"31,045","17,045","9,544","7,998","20,379","4,508","1,498",515,"8,253",985,,,,,,,,,,,,,
Val Verde,8,"42,730","28,896","18,516","12,368","36,546","7,003","2,610",490,"14,417",104,,,,,,,,,,,,,
